
variables
velocity (v_0)m/s,31.29
acceleration (a_0)m/s^2,-1.14
Thinking time (T) s,0.67
Time interval (t_c)s,0.25
v_target m/s,10

parameters
t_tartget s,19.34543859649123
lines ignored,35
m_max,3
n_max,110
x_max,110

line,time s,velocity m/s,distance from line 0 m,distance from junction m,spacing m,time for 1st click s,time for 2nd click s
90 (B),22.5,31.29,434.379375,18.50062500000007,1.6593749999999545,22.577509531120285,22.816733235929668
91 (B),22.75,31.29,435.9675,16.91250000000008,1.588124999999991,22.831119290400444,23.082189950573145
92 (B),23.0,31.29,437.484375,15.395625000000052,1.5168750000000273,23.085084633771363,23.349289773347902
93 (B),23.25,31.29,438.92999999999995,13.950000000000102,1.44562499999995,23.339461329395494,23.61832022696204
94 (B),23.5,31.29,440.30437500000005,12.575625000000002,1.3743750000001,23.594317573989755,23.88964301739959
95 (B),23.75,31.29,441.6075000000001,11.27249999999998,1.3031250000000227,23.849737699599874,24.16372069935563
96 (B),24.0,31.29,442.839375,10.040625000000034,1.2318749999999454,24.10582730802521,24.44115626886724
97 (B),24.25,31.29,444.0,8.880000000000052,1.1606249999999818,24.36272052729923,24.722753978888015
98 (B),24.5,31.29,445.089375,7.790625000000034,1.0893750000000182,24.62059050531045,25.00961665669384
99 (B),24.75,31.29,446.1075000000001,6.7724999999999795,1.0181250000000546,24.879664991266512,25.30330948926735
100 (B),25.0,31.29,447.05437500000005,5.825625000000002,0.9468749999999773,25.14025019672954,25.606153862178765
101 (B),25.25,31.29,447.92999999999995,4.950000000000102,0.8756249999999,25.402768695338374,25.92180065023283
102 (B),25.5,31.29,448.734375,4.145625000000052,0.80437500000005,25.667822332040657,26.256486026607416
103 (B),25.75,31.29,449.4675,3.4125000000000796,0.7331249999999727,25.936302476435028,26.622300086490252
104 (B),26.0,31.29,450.129375,2.7506250000000705,0.6618750000000091,26.20959705709167,27.048605587385584
105 (B),26.25,31.29,450.72,2.160000000000025,0.5906250000000455,26.49001644068748,27.66494768752658
106 (B),26.5,31.29,451.239375,1.6406250000000568,0.5193749999999682,26.78178847829754,27.40508540783205
107 (B),26.75,31.29,451.6875,1.1925000000000523,0.44812500000000455,27.09388196268342,27.008294586690678
108 (B),27.0,31.29,452.06437500000004,0.8156250000000114,0.3768750000000409,27.45138038275858,26.756854348198576
109 (B),27.25,31.29,452.37,0.5100000000000477,0.3056249999999636,28.054841431497707,26.581427517239376
110 (B),27.5,31.29,452.604375,0.27562500000004775,0.234375,27.57217223762316,26.4588491616991
111 (B),27.75,31.29,452.76750000000004,0.11250000000001137,0.16312500000003638,27.3745352190602,26.37840348855132
112 (B),28.0,31.29,452.859375,0.020625000000052296,0.09187499999995907,27.281814660300515,26.33462376968578
113 (B),28.25,31.29,452.88,5.684341886080802e-14,0.020624999999995453,27.262262598509732,26.324936353734273
